89	70	67	93	70	70	95	66	55	52	55
100	93	79	96	76	81	92	98	75	89	86
81	71	92	58	93	68	52	95	90	85	45
82	66	75	66	73	85	70	73	55	75	59
72	80	64	55	55	63	96	52	53	83	96
60	63	56	73	93	81	54	95	80	52	41
85	76	85	52	51	86	89	64	63	56	100
72	58	64	98	94	81	98	74	60	74	24
65	100	64	87	60	64	64	60	93	56	2
95	72	82	71	67	94	95	74	69	85	36
92	61	88	84	100	60	59	87	72	73	87
55	57	78	83	85	88	97	61	77	56	90
98	80	57	89	69	51	81	66	78	54	17
90	82	59	56	61	96	73	82	83	98	14
89	86	60	65	78	70	79	94	65	75	59
80	80	72	55	85	82	87	91	81	89	66
97	93	57	64	50	66	72	88	77	68	4
75	76	51	96	74	52	96	50	94	68	32
88	53	60	51	61	77	67	60	87	94	56
58	94	54	95	98	68	96	96	83	97	84
63	98	94	85	74	74	74	92	74	69	73
73	73	80	51	69	62	60	96	95	58	83
62	92	76	77	58	58	61	80	64	92	37
89	86	51	72	80	72	89	68	88	70	81
64	57	61	70	64	71	91	90	95	98	1
71	57	62	68	70	74	59	50	77	85	77
71	72	69	77	97	54	89	85	77	54	83
90	95	89	61	51	71	62	96	74	61	91
73	85	85	61	74	66	62	97	94	89	30
52	77	71	81	88	52	80	74	73	85	61
88	63	91	99	78	65	57	69	57	92	78
51	54	75	51	58	85	66	70	52	90	94
76	90	70	60	99	80	50	50	92	65	12
51	60	61	87	57	85	79	73	96	66	15
